Authors,Year,studyID,Lat,Long,Location,FireRegime,Duration,Ecosystem,Fire_Type,TSF,PlotSize(m^2),crustType,Exp.Type,aridity,avg_avg_c,avg_max_c,avg_min_c,avg_precip,avg_rad,avg_vapor,avg_wind,Burn.Cover,Burn.n,Burn.se,Cont.Cover,Cont.n,Cont.se,CrustCover
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,cyanobacteria/algae,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,18,10,3.8,18
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,bryophyte,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,7.5,10,1.8,7.5
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0.63,10,0.63,0.63
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,1.3,10,1.3,1.3
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,3.8,10,2.1,3.8
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,17,10,5.6,17
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,cyanobacteria/algae,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,4.4,10,1.1,4.4
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,bryophyte,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,1.3,10,0.83,1.3
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,4.4,10,1.6,4.4
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,cyanobacteria/algae,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,53,10,4.7,53
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,bryophyte,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,11.8,10,2.9,11.8
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,1.3,10,0.83,1.3
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0,10,0,0
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,5.6,10,2.5,5.6
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,3.8,10,3.8,3.8
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,2.5,10,1.7,2.5
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,0,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,12,10,2.7,12
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,cyanobacteria/algae,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,47,10,6.1,47
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,bryophyte,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,6.3,10,2.2,6.3
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0.63,10,0.63,0.63
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,2.5,10,1,2.5
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,16,10,3.5,16
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,2.5,10,2.5,2.5
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,0.63,10,0.63,0.63
Aanderud et al. ,2019,Aanderud et al. 2019,40.09095,-112.3051,Utah,IV,medium,Shrubland,Prescribed,12,LineIntercept,lichen,BurnControl,1702,9.087,17.0479,1.1289,28,10406,0.555,3.2579,0,10,0,3.1,10,1.4,3.1
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,0.01,30,0.01,1.2,300,0.9,1.21
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,0.8,30,0.5,0.01,300,0.01,0.81
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,0.01,30,0.01,0.01,300,0.01,0.02
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,0.8,30,0.8,1.1,300,1.1,1.9
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,0.3,30,0.3,0,300,0,0.3
Bowker et al. ,2004,Bowker et al. 2004,45.6,-116.5,Oregon,IV,medium,Grassland,Wildfire,11,LineIntercept,bryophyte,BurnControl,3571,7.108580112,12.29839993,1.919749975,46,14279,0.614296019,2.4792099,18.7,30,4.7,25.6,300,5.7,44.3
